級別,單字,屬性,輸出,中文
2,kilogram,n.,kilogram (n.),公斤
2,lack,n./v.,lack (n./v.),缺少
2,lady,n.,lady (n.),女士
2,ladybug,n.,ladybug (n.),瓢蟲
2,lamb,n./v.,lamb (n./v.),羊肉
2,lane,n.,lane (n.),車道
2,lantern,n.,lantern (n.),燈籠
2,lap,n.,lap (n.),圈
2,latest,adj.,latest (adj.),最新的
2,latter,adj.,latter (adj.),後者
2,law,n.,law (n.),法律
2,lay,v.,lay (v.),躺著
2,leadership,n.,leadership (n.),領導
2,leaf,n.,leaf (n.),葉子
2,legal,adj.,legal (adj.),合法的
2,lend,v.,lend (v.),借
2,length,n.,length (n.),長度
2,lens,n.,lens (n.),鏡片
2,liberal,adj.,liberal (adj.),自由主義
2,lid,n.,lid (n.),蓋
2,lift,v./n.,lift (v./n.),舉起
2,likely,adj./adv.,likely (adj./adv.),可能
2,limit,n./v.,limit (n./v.),限制
2,link,n./v.,link (n./v.),關聯
2,liquid,n.,liquid (n.),液體
2,listener,n.,listener (n.),聽眾
2,liver,n.,liver (n.),肝
2,load,n./v.,load (n./v.),載入
2,local,adj./n.,local (adj./n.),當地的
2,lone,adj.,lone (adj.),孤獨的
2,loss,n.,loss (n.),損失
2,lower,v.,lower (v.),降低
2,luck,n.,luck (n.),運氣
2,magazine,n.,magazine (n.),雜誌
2,maintain,v.,maintain (v.),維持
2,major,adj./n./v.,major (adj./n./v.),主要的
2,male,adj./n.,male (adj./n.),男性
2,manage(ment),v./(n.),manage(ment) (v./(n.)),管理）
2,manager,n.,manager (n.),主管
2,mango,n.,mango (n.),芒果
2,manner,n.,manner (n.),方式
2,marriage,n.,marriage (n.),婚姻
2,marry,v.,marry (v.),結婚
2,mask,n./v.,mask (n./v.),面具
2,mass,n.,mass (n.),大量的
2,master,n./v.,master (n./v.),掌握
2,mat,n.,mat (n.),墊
2,match,n.,match (n.),匹配
2,material,n./v.,material (n./v.),材料
2,material,n.,material (n.),材料
2,mature,adj.,mature (adj.),成熟
2,meaning,n.,meaning (n.),意義
2,means,n.,means (n.),方法
2,measure(ment),v./(n.),measure(ment) (v./(n.)),測量）
2,medical,adj.,medical (adj.),醫療的
2,melody,n.,melody (n.),旋律
2,membership,n.,membership (n.),會員資格
2,memory,n.,memory (n.),記憶
2,mention,v./n.,mention (v./n.),提到
2,message,n.,message (n.),訊息
2,metal,n./adj.,metal (n./adj.),金屬
2,meter,n.,meter (n.),儀表
2,method,n.,method (n.),方法
2,midnight,n.,midnight (n.),午夜
2,mile,n.,mile (n.),英哩
2,military,adj./n.,military (adj./n.),軍隊
2,minor,adj./n.,minor (adj./n.),次要的
2,minority,n.,minority (n.),少數民族
2,mirror,n./v.,mirror (n./v.),鏡子
2,mix,n./v.,mix (n./v.),混合
2,mixture,n.,mixture (n.),混合物
2,model,n./v.,model (n./v.),模型
2,mood,n.,mood (n.),情緒
2,mop,n./v.,mop (n./v.),拖把
2,motion,n.,motion (n.),運動
2,motorcycle,n.,motorcycle (n.),摩托車
2,mug,n.,mug (n.),馬克杯
2,musical,adj./n.,musical (adj./n.),音樂
2,musician,n.,musician (n.),音樂家
2,nail,n.,nail (n.),指甲
2,narrow,adj./v.,narrow (adj./v.),狹窄的
2,nation,n.,nation (n.),國家
2,natural,adj.,natural (adj.),自然的
2,naughty,adj.,naughty (adj.),淘氣
2,nearby,adj./adv.,nearby (adj./adv.),附近
2,nearly,adv.,nearly (adv.),幾乎
2,necessary,adj.,necessary (adj.),必要的
2,necklace,n.,necklace (n.),項鍊
2,needle,n.,needle (n.),針
2,negative,adj./n.,negative (adj./n.),消極的
2,neighbor,n.,neighbor (n.),鄰居
2,neither,adj./adv./pron./conj.,neither (adj./adv./pron./conj.),兩者都不
2,nephew,n.,nephew (n.),姪子
2,nerve,n.,nerve (n.),神經
2,nervous,adj.,nervous (adj.),緊張的
2,network,n./v.,network (n./v.),網路
2,niece,n.,niece (n.),姪女
2,nod,n./v.,nod (n./v.),點點頭
2,none,pron./adv.,none (pron./adv.),沒有任何
2,noodle,n.,noodle (n.),麵條
2,nor,conj.,nor (conj.),也不
2,northern,adj.,northern (adj.),北方
2,notebook,n.,notebook (n.),筆記本
2,novel,n./adj.,novel (n./adj.),小說
2,nut,n.,nut (n.),堅果
2,obey,v.,obey (v.),服從
2,object,n./v.,object (n./v.),目的
2,obvious,adj.,obvious (adj.),明顯的
2,occur,v.,occur (v.),發生
2,ocean,n.,ocean (n.),海洋
2,offer,v./n.,offer (v./n.),提供
2,official,adj./n.,official (adj./n.),官方的
2,operate,v.,operate (v.),操作
2,operator,n.,operator (n.),操作員
2,opinion,n.,opinion (n.),觀點
2,ordinary,adj.,ordinary (adj.),普通的
2,organ,n.,organ (n.),器官
2,organization,n.,organization (n.),組織
2,origin,n.,origin (n.),起源
2,owner,n.,owner (n.),擁有者
2,pain,n./v.,pain (n./v.),疼痛
2,painful,adj.,painful (adj.),痛苦
2,painting,n.,painting (n.),繪畫
2,pajamas,n.,pajamas (n.),睡衣
2,pale,adj.,pale (adj.),蒼白
2,pan,n.,pan (n.),平底鍋
2,panda,n.,panda (n.),貓熊
2,papaya,n.,papaya (n.),木瓜
2,pardon,n./v.,pardon (n./v.),赦免
2,participate,v.,participate (v.),參加
2,particular,adj.,particular (adj.),特別的
2,partner,n.,partner (n.),夥伴
2,password,n.,password (n.),密碼
2,paste,n./v.,paste (n./v.),貼上
2,path,n.,path (n.),小路
2,patient,n./adj.,patient (n./adj.),病人
2,pattern,n./v.,pattern (n./v.),圖案
2,peace,n.,peace (n.),和平
2,peaceful,adj.,peaceful (adj.),和平
2,peach,n.,peach (n.),桃
2,peak,n./v.,peak (n./v.),頂峰
2,pear,n.,pear (n.),梨
2,per,prep.,per (prep.),每
2,perfect,adj./v./n.,perfect (adj./v./n.),完美的
2,period,n.,period (n.),時期
2,personal,adj.,personal (adj.),個人的
2,personality,n.,personality (n.),性格
2,phrase,n./v.,phrase (n./v.),短語
2,pillow,n.,pillow (n.),枕頭
2,pizza,n.,pizza (n.),披薩
2,plain,adj./n.,plain (adj./n.),清楚的
2,platform,n.,platform (n.),平台
2,playground,n.,playground (n.),操場
2,pleasant,adj.,pleasant (adj.),令人愉快的
2,plus,prep./n./adj.,plus (prep./n./adj.),加
2,poem,n.,poem (n.),詩
2,poet,n.,poet (n.),詩人
2,poetry,n.,poetry (n.),詩
2,poison,n./v.,poison (n./v.),毒
2,policeman/cop,n.,policeman/cop (n.),警察/警察
2,policy,n.,policy (n.),政策
2,pop,n./adj.,pop (n./adj.),流行音樂
2,population,n.,population (n.),人口
2,pork,n.,pork (n.),豬肉
2,port,n.,port (n.),港口
2,pose,v./n.,pose (v./n.),姿勢
2,position,n./v.,position (n./v.),位置
2,positive,adj.,positive (adj.),積極的
2,possibility,n.,possibility (n.),可能性
2,post,n./v./adv.,post (n./v./adv.),郵政
2,postcard,n.,postcard (n.),明信片
2,pound,n.,pound (n.),磅
2,powerful,adj.,powerful (adj.),強大的
2,praise,n./v.,praise (n./v.),稱讚
2,pray,v.,pray (v.),祈禱
2,prayer,n.,prayer (n.),禱告
2,prefer,v.,prefer (v.),更喜歡
2,president,n.,president (n.),總統
2,press,n./v.,press (n./v.),按
2,pressure,n./v.,pressure (n./v.),壓力
2,pride,n./v.,pride (n./v.),自豪
2,priest,n.,priest (n.),牧師
2,primary,adj.,primary (adj.),基本的
2,prince/princess,n.,prince/princess (n.),王子/公主
2,principal,adj./n.,principal (adj./n.),主要的
2,principle,n.,principle (n.),原則
2,print,n./v.,print (n./v.),列印
2,printer,n.,printer (n.),印表機
2,prison,n.,prison (n.),監獄
2,prisoner,n.,prisoner (n.),囚犯
2,private,adj.,private (adj.),私人的
2,prize,n./v.,prize (n./v.),獎
2,produce,v./n.,produce (v./n.),生產
2,production,n.,production (n.),生產
2,progress,n./v.,progress (n./v.),進步
2,project,n.,project (n.),專案
2,promise,n./v.,promise (n./v.),承諾
2,proper,adj.,proper (adj.),恰當的
2,propose,v.,propose (v.),提出
2,protect,v.,protect (v.),保護
2,protective,adj.,protective (adj.),保護的
2,prove,v.,prove (v.),證明
2,provide,v.,provide (v.),提供
2,pudding,n.,pudding (n.),布丁
2,pumpkin,n.,pumpkin (n.),南瓜
2,punish(ment),v./(n.),punish(ment) (v./(n.)),懲罰）
2,pupil,n.,pupil (n.),瞳孔
2,puppy,n.,puppy (n.),小狗
2,purple,adj./n.,purple (adj./n.),紫色的
2,purpose,n.,purpose (n.),目的
2,puzzle,n./v.,puzzle (n./v.),謎
2,quality,n.,quality (n.),品質
2,quantity,n.,quantity (n.),數量
2,quiz,n.,quiz (n.),測驗
2,railroad/railway,n.,railroad/railway (n.),鐵路/鐵路
2,raincoat,n.,raincoat (n.),雨衣
2,range,n./v.,range (n./v.),範圍
2,rapid,adj.,rapid (adj.),迅速的
2,rare,adj.,rare (adj.),稀有的
2,rat,n.,rat (n.),鼠
2,rather,adv.,rather (adv.),相當
2,reality,n.,reality (n.),現實
2,realize,v.,realize (v.),意識到
2,receive,v.,receive (v.),收到
2,recent,adj.,recent (adj.),最近的
2,record,n./v.,record (n./v.),記錄
2,recover,v.,recover (v.),恢復
2,refrigerator/fridge,n.,refrigerator/fridge (n.),冰箱/冰箱
2,refuse,v.,refuse (v.),拒絕
2,regard,n./v.,regard (n./v.),看待
2,region,n.,region (n.),地區
2,regular,adj./n.,regular (adj./n.),常規的
2,reject,v.,reject (v.),拒絕
2,relate,v.,relate (v.),涉及
2,relation,n.,relation (n.),關係
2,relationship,n.,relationship (n.),關係
2,religion,n.,religion (n.),宗教
2,remove,v.,remove (v.),消除
2,rent,n./v.,rent (n./v.),租
2,repair,n./v.,repair (n./v.),維修
2,reply,n./v.,reply (n./v.),回覆
2,require(ment),v./(n.),require(ment) (v./(n.)),要求）
2,respect,n./v.,respect (n./v.),尊重
2,respond,v.,respond (v.),回應
2,responsible,adj.,responsible (adj.),負責任的
2,restroom,n.,restroom (n.),廁所
2,result,n./v.,result (n./v.),結果
2,return,v./n.,return (v./n.),返回
2,review,n./v.,review (n./v.),審查
2,riches,n.,riches (n.),財富
2,rocky,adj.,rocky (adj.),岩石的
2,role,n.,role (n.),角色
2,roof,n./v.,roof (n./v.),屋頂
2,rooster,n.,rooster (n.),公雞
2,royal,adj.,royal (adj.),皇家的
2,rub,v./n.,rub (v./n.),擦
2,rubber,n.,rubber (n.),橡皮
2,rude,adj.,rude (adj.),粗魯的
2,runner,n.,runner (n.),跑者
2,safety,n.,safety (n.),安全
2,sail,v./n.,sail (v./n.),帆
2,sailor,n.,sailor (n.),水手
2,salesperson/salesman/saleswoman,n.,salesperson/salesman/saleswoman (n.),推銷員/推銷員/女推銷員
2,salty,adj.,salty (adj.),鹹
2,sample,n./v.,sample (n./v.),樣本
2,sand,n./v.,sand (n./v.),沙
2,sandwich,n./v.,sandwich (n./v.),三明治
2,satisfy,v.,satisfy (v.),滿足
2,saw,v./n.,saw (v./n.),鋸
2,scare,v./n.,scare (v./n.),嚇
2,scared,adj.,scared (adj.),害怕的
2,scene,n.,scene (n.),場景
2,schedule,n./v.,schedule (n./v.),行程
2,scooter,n.,scooter (n.),小型摩托車
2,score,n./v.,score (n./v.),分數
2,screen,n.,screen (n.),螢幕
2,seafood,n.,seafood (n.),海鮮
2,search,n./v.,search (n./v.),搜尋
2,secondary,adj.,secondary (adj.),中學
2,secret,adj./n.,secret (adj./n.),秘密
2,section,n.,section (n.),部分
2,seek,v.,seek (v.),尋找
2,seem,v.,seem (v.),似乎
2,seesaw,n.,seesaw (n.),蹺蹺板
2,seldom,adv.,seldom (adv.),很少
2,select,v./adj.,select (v./adj.),選擇
2,selection,n.,selection (n.),選擇
2,self,n.,self (n.),自己
2,selfish,adj.,selfish (adj.),自私
2,sense,n./v.,sense (n./v.),感覺
2,sensitive,adj.,sensitive (adj.),敏感的
2,separate,adj./v.,separate (adj./v.),分離
2,servant,n.,servant (n.),僕人
2,serve,v.,serve (v.),服務
2,settle(ment),v./(n.),settle(ment) (v./(n.)),沉降）
2,sex,n.,sex (n.),性別
2,shame,n./v.,shame (n./v.),恥辱
2,shark,n.,shark (n.),鯊魚
2,sheet,n.,sheet (n.),床單
2,shelf,n.,shelf (n.),架子
2,shell,n.,shell (n.),殼
2,shine,v./n.,shine (v./n.),閃耀
2,shock,n./v.,shock (n./v.),震驚
2,shoot,v./n.,shoot (v./n.),射擊
2,shopkeeper,n.,shopkeeper (n.),店主
2,shore,n.,shore (n.),支撐
2,shot,n.,shot (n.),射擊
2,shut,v./adj.,shut (v./adj.),關閉
2,shy,adj.,shy (adj.),害羞的
2,sidewalk,n.,sidewalk (n.),人行道
2,silence,n./v.,silence (n./v.),沉默
2,silent,adj.,silent (adj.),沉默的
2,silly,adj.,silly (adj.),愚蠢的
2,silver,n./adj.,silver (n./adj.),銀
2,similar,adj.,similar (adj.),相似的
2,simply,adv.,simply (adv.),簡單地
2,single,adj./n./v.,single (adj./n./v.),單身的
2,skill,n.,skill (n.),技能
2,skilled,adj.,skilled (adj.),熟練
2,skin,n.,skin (n.),皮膚
2,sleepy,adj.,sleepy (adj.),睏
2,slide,n./v.,slide (n./v.),滑動
2,slip,v./n.,slip (v./n.),滑
2,slipper(s),n.,slipper(s) (n.),拖鞋）
2,smooth,adj./v.,smooth (adj./v.),光滑的
2,snack,n./v.,snack (n./v.),小吃
2,snail,n.,snail (n.),蝸牛
2,snowy,adj.,snowy (adj.),下雪的
2,soap,n./v.,soap (n./v.),肥皂
2,soccer,n.,soccer (n.),足球
2,social,adj.,social (adj.),社會的
2,society,n.,society (n.),社會
2,sock(s),n.,sock(s) (n.),襪子）
2,soda,n.,soda (n.),蘇打
2,soft,adj.,soft (adj.),柔軟的
2,soil,n.,soil (n.),土壤
2,solution,n.,solution (n.),解決方案
2,solve,v.,solve (v.),解決
2,somewhat,adv.,somewhat (adv.),有些
2,sort,n./v.,sort (n./v.),種類
2,soul,n.,soul (n.),靈魂
2,sour,adj./n./v.,sour (adj./n./v.),酸的
2,source,n.,source (n.),來源
2,southern,adj.,southern (adj.),南部
2,soybean,n.,soybean (n.),大豆
2,speaker,n.,speaker (n.),揚聲器
2,speech,n.,speech (n.),演講
2,speed,n./v.,speed (n./v.),速度
2,spelling,n.,spelling (n.),拼字
2,spider,n.,spider (n.),蜘蛛
2,spirit,n.,spirit (n.),精神
2,spoon,n.,spoon (n.),湯匙
2,sport,n./v.,sport (n./v.),運動
2,spot,n./v.,spot (n./v.),點
2,spread,v./n.,spread (v./n.),傳播
2,stage,n./v.,stage (n./v.),階段
2,stamp,n./v.,stamp (n./v.),郵票
2,standard,adj./n.,standard (adj./n.),標準
2,state(ment),v./(n.),state(ment) (v./(n.)),陳述）
2,steak,n.,steak (n.),牛排
2,steel,n./v.,steel (n./v.),鋼
2,step,n./v.,step (n./v.),步
2,stick,v./n.,stick (v./n.),戳
2,stomachache,n.,stomachache (n.),腹痛
2,stone,n./v.,stone (n./v.),結石
2,storm,n./v.,storm (n./v.),風暴
2,stranger,n.,stranger (n.),陌生人
2,strawberry,n.,strawberry (n.),草莓
2,stream,n./v.,stream (n./v.),溪流
2,stress,n./v.,stress (n./v.),壓力
2,stretch,n./v.,stretch (n./v.),拉緊
2,strict,adj.,strict (adj.),嚴格的
2,strike,n./v.,strike (n./v.),罷工
2,struggle,n./v.,struggle (n./v.),鬥爭
2,style,n./v.,style (n./v.),風格
2,subway/underground/metro,n.,subway/underground/metro (n.),地鐵/地鐵/地鐵
2,succeed,v.,succeed (v.),成功
2,success,n.,success (n.),成功
2,such,adj./pron.,such (adj./pron.),這樣的
2,sudden,adj./n.,sudden (adj./n.),突然的
2,suggest,v.,suggest (v.),建議
2,suit,n./v.,suit (n./v.),套裝
2,suitable,adj.,suitable (adj.),合適的
2,super,adj./adv.,super (adj./adv.),極佳的
2,supper,n.,supper (n.),晚餐
2,supply,n./v.,supply (n./v.),供應
2,support,n./v.,support (n./v.),支援
2,suppose,v.,suppose (v.),認為
2,surf,v.,surf (v.),衝浪
2,surface,n./v.,surface (n./v.),表面
2,survival,n.,survival (n.),生存
2,survive,v.,survive (v.),存活
2,swallow,v./n.,swallow (v./n.),吞
2,sweater,n.,sweater (n.),毛衣
2,sweep,v.,sweep (v.),掃
2,swim,v./n.,swim (v./n.),游泳
2,swimsuit,n.,swimsuit (n.),泳裝
2,swing,n./v.,swing (n./v.),搖擺
2,switch,n./v.,switch (n./v.),轉變
2,symbol,n.,symbol (n.),象徵
2,system,n.,system (n.),系統
2,tale,n.,tale (n.),故事
2,target,n./v.,target (n./v.),目標
2,task,n./v.,task (n./v.),任務
2,tax,n./v.,tax (n./v.),稅
2,teapot,n./v.,teapot (n./v.),茶壺
2,tear,n./v.,tear (n./v.),撕
2,technology,n.,technology (n.),科技
2,teens,n.,teens (n.),青少年
2,temperature,n.,temperature (n.),溫度
2,term,n./v.,term (n./v.),學期
2,terrorism,n.,terrorism (n.),恐怖主義
2,terrorist,adj.,terrorist (adj.),恐怖分子
2,text,n.,text (n.),文字
2,textbook,n.,textbook (n.),教科書
2,therefore,adv.,therefore (adv.),所以
2,thief,n.,thief (n.),賊
2,thirsty,adj.,thirsty (adj.),渴
2,thought,n.,thought (n.),想法
2,throughout,prep./adv.,throughout (prep./adv.),自始至終
2,thunder,n./v.,thunder (n./v.),雷
2,thus,adv.,thus (adv.),因此
2,till,conj./prep.,till (conj./prep.),直到
2,tiny,adj.,tiny (adj.),微小的
2,tire,v./n.,tire (v./n.),胎
2,tissue,n.,tissue (n.),組織
2,title,n./v.,title (n./v.),標題
2,toast,n./v.,toast (n./v.),吐司
2,tofu,n.,tofu (n.),豆腐
2,tone,n.,tone (n.),語氣
2,tongue,n.,tongue (n.),舌頭
2,toothache,n.,toothache (n.),牙痛
2,toothbrush,n.,toothbrush (n.),牙刷
2,tour,n./v.,tour (n./v.),旅遊
2,toward/towards,prep.,toward/towards (prep.),朝向/朝向
2,track,n./v.,track (n./v.),追蹤
2,trade,n./v.,trade (n./v.),貿易
2,tradition,n.,tradition (n.),傳統
2,traditional,adj.,traditional (adj.),傳統的
2,trap,n./v.,trap (n./v.),陷阱
2,trash,n./v.,trash (n./v.),垃圾
2,travel,n./v.,travel (n./v.),旅行
2,treasure,n./v.,treasure (n./v.),寶藏
2,trial,n.,trial (n.),審判
2,triangle,n.,triangle (n.),三角形
2,trick,n./v.,trick (n./v.),詭計
2,true,adj./adv./v.,true (adj./adv./v.),真的
2,trust,v./n.,trust (v./n.),相信
2,truth,n.,truth (n.),真相
2,tube,n.,tube (n.),管子
2,turtle,n.,turtle (n.),龜
2,typhoon,n.,typhoon (n.),颱風
2,typical,adj.,typical (adj.),典型的
2,ugly,adj.,ugly (adj.),醜陋的
2,umbrella,n.,umbrella (n.),傘
2,unit,n.,unit (n.),單元
2,universe,n.,universe (n.),宇宙
2,university,n.,university (n.),大學
2,unless,conj.,unless (conj.),除非
2,upload,v.,upload (v.),上傳
2,upon,prep.,upon (prep.),之上
2,upper,adj.,upper (adj.),上
2,upset,adj./v./n.,upset (adj./v./n.),沮喪的
2,upstairs,adv./adj./n.,upstairs (adv./adj./n.),樓上
2,used,adj.,used (adj.),用過的
2,user,n.,user (n.),使用者
2,usual,adj.,usual (adj.),通常
2,vacation,n./v.,vacation (n./v.),假期
2,valley,n.,valley (n.),谷
2,valuable,adj.,valuable (adj.),有價值的
2,value,n./v.,value (n./v.),價值
2,victory,n.,victory (n.),勝利
2,view,n./v.,view (n./v.),看法
2,village,n.,village (n.),村莊
2,vote,n./v.,vote (n./v.),投票
2,waist,n.,waist (n.),腰部
2,waiter/waitress,n.,waiter/waitress (n.),服務生/女服務員
2,wallet,n.,wallet (n.),錢包
2,war,n.,war (n.),戰爭
2,wash,v./n.,wash (v./n.),洗
2,waste,n./v.,waste (n./v.),浪費
2,watermelon,n.,watermelon (n.),西瓜
2,wealth,n.,wealth (n.),財富
2,wedding,n.,wedding (n.),婚禮
2,weekday,n.,weekday (n.),工作日
2,weigh,v.,weigh (v.),稱重
2,weight,n.,weight (n.),重量
2,western,adj./n.,western (adj./n.),西
2,whale,n.,whale (n.),鯨
2,whatever,adj./pron.,whatever (adj./pron.),任何
2,wheel,n.,wheel (n.),車輪
2,whenever,conj./adv.,whenever (conj./adv.),每當
2,wherever,adv./conj.,wherever (adv./conj.),無論在哪裡
2,whisper,n./v.,whisper (n./v.),耳語
2,whoever,pron.,whoever (pron.),誰
2,whole,adj./n.,whole (adj./n.),所有的
2,whom,pron.,whom (pron.),誰
2,width,n.,width (n.),寬度
2,wild,adj./adv./n.,wild (adj./adv./n.),荒野
2,willing,adj.,willing (adj.),願意的
2,windy,adj.,windy (adj.),有風的
2,wine,n.,wine (n.),葡萄酒
2,wing,n.,wing (n.),翼
2,wire,n.,wire (n.),金屬絲
2,within,prep./adv.,within (prep./adv.),之內
2,wolf,n.,wolf (n.),狼
2,wonder,v./n.,wonder (v./n.),想知道
2,wood(s),n.,wood(s) (n.),木材
2,wooden,adj.,wooden (adj.),木製的
2,wool,n.,wool (n.),羊毛
2,workbook,n.,workbook (n.),作業簿
2,worm,n./v.,worm (n./v.),蠕蟲
2,worse,adj./adv./n.,worse (adj./adv./n.),更糟
2,worst,adj./adv./n.,worst (adj./adv./n.),最糟糕的
2,worth,adj./n.,worth (adj./n.),值得
2,wound,n./v.,wound (n./v.),傷口
2,yam,n.,yam (n.),薯
2,youth,n.,youth (n.),青年
2,zebra,n.,zebra (n.),斑馬
3,aboard,prep./adv.,aboard (prep./adv.),船上
3,acceptable,adj.,acceptable (adj.),可以接受
3,accurate,adj.,accurate (adj.),準確的
3,ache,n./v.,ache (n./v.),疼痛
3,achieve(ment),v./(n.),achieve(ment) (v./(n.)),成就）
3,additional adj. admire,v.,additional adj. admire (v.),額外的形容詞欽佩
3,advanced,adj.,advanced (adj.),先進的
3,advantage,n.,advantage (n.),優勢
3,adventure,n.,adventure (n.),冒險
3,advertise(ment)/ad,v./(n.),advertise(ment)/ad (v./(n.)),廣告（廣告）/廣告
3,advise,v.,advise (v.),建議
3,adviser/advisor,n.,adviser/advisor (n.),顧問/顧問
3,afford,v.,afford (v.),買得起
3,afterward/afterwards,adv.,afterward/afterwards (adv.),之後/之後
3,agriculture,n.,agriculture (n.),農業
3,airline,n.,airline (n.),航空
3,alley,n.,alley (n.),胡同
3,almond,n.,almond (n.),杏仁
3,alphabet,n.,alphabet (n.),字母
3,amaze(ment),v./(n.),amaze(ment) (v./(n.)),驚愕）
3,ambassador,n.,ambassador (n.),大使
3,ambition,n.,ambition (n.),志向
3,ambulance,n.,ambulance (n.),救護車
3,angel,n.,angel (n.),天使
3,announce(ment),v./(n.),announce(ment) (v./(n.)),公告）
3,anxious,adj.,anxious (adj.),焦慮的
3,anyhow,adv.,anyhow (adv.),無論如何
3,apart,adv.,apart (adv.),分開
3,apologize,v.,apologize (v.),道歉
3,appeal,n./v.,appeal (n./v.),上訴
3,approve,v.,approve (v.),核准
3,apron,n.,apron (n.),圍裙
3,armed,adj.,armed (adj.),武裝的
3,arrest,n./v.,arrest (n./v.),逮捕
3,ash,n.,ash (n.),灰
3,aside,adv.,aside (adv.),放在一邊
3,assist,v.,assist (v.),協助
3,assistant,n.,assistant (n.),助理
3,assume,v.,assume (v.),認為
3,athlete,n.,athlete (n.),運動員
3,attitude,n.,attitude (n.),態度
3,attract,v.,attract (v.),吸引
3,attractive,adj.,attractive (adj.),吸引人的
3,audience,n.,audience (n.),觀眾
3,automatic,adj.,automatic (adj.),自動的
3,automobile/auto,n.,automobile/auto (n.),汽車/汽車
3,avenue,n.,avenue (n.),大街
3,awake,adj./v.,awake (adj./v.),醒
3,awaken,v.,awaken (v.),喚醒
3,award,n./v.,award (n./v.),獎
3,aware,adj.,aware (adj.),意識到的
3,awful,adj.,awful (adj.),可怕
3,awkward,adj.,awkward (adj.),尷尬的
3,background,n.,background (n.),背景
3,bacon,n.,bacon (n.),培根
3,bacteria,n.,bacteria (n.),細菌
3,badly,adv.,badly (adv.),嚴重地
3,baggage,n.,baggage (n.),行李
3,bait,n./v.,bait (n./v.),餌
3,bamboo,n.,bamboo (n.),竹子
3,bang,n./v./adv.,bang (n./v./adv.),砰
3,banker,n.,banker (n.),銀行家
3,bare,adj./v.,bare (adj./v.),裸
3,barely,adv.,barely (adv.),僅僅
3,barn,n.,barn (n.),穀倉
3,barrel,n.,barrel (n.),桶
3,basement,n.,basement (n.),地下室
3,bay,n.,bay (n.),灣
3,bead,n.,bead (n.),珠
3,beam,n./v.,beam (n./v.),光束
3,beast,n.,beast (n.),獸
3,beetle,n.,beetle (n.),甲蟲
3,beneath,prep.,beneath (prep.),下面
3,benefit,n./v.,benefit (n./v.),益處
3,berry,n.,berry (n.),莓果
3,besides,adv./prep.,besides (adv./prep.),除了
3,bet,v./n.,bet (v./n.),賭注
3,bind,v.,bind (v.),綁定
3,bitter,adj.,bitter (adj.),苦的
3,bleed,v.,bleed (v.),流血
3,bless,v.,bless (v.),保佑
3,bloody,adj.,bloody (adj.),血腥
3,blouse,n.,blouse (n.),女式襯衫
3,bold,adj.,bold (adj.),大膽的
3,bomb,n./v.,bomb (n./v.),炸彈
3,bookcase,n.,bookcase (n.),書櫃
3,boot,n./v.,boot (n./v.),啟動
3,bore,v./n.,bore (v./n.),鑽孔
3,bowling,n.,bowling (n.),保齡球
3,brake,n./v.,brake (n./v.),煞車
3,brass,n./adj.,brass (n./adj.),黃銅
3,bravery,n.,bravery (n.),勇敢
3,breast,n.,breast (n.),胸部
3,breath,n.,breath (n.),氣息
3,breathe,v.,breathe (v.),呼吸
3,breeze,n./v.,breeze (n./v.),微風
3,brick,n.,brick (n.),磚
3,bride,n.,bride (n.),新娘
3,broadcast,n./v.,broadcast (n./v.),pod送
3,brunch,n.,brunch (n.),早午餐
3,bubble,n./v.,bubble (n./v.),氣泡
3,bucket,n.,bucket (n.),桶
3,bud,n./v.,bud (n./v.),芽
3,budget,n./v.,budget (n./v.),預算
3,buffalo,n.,buffalo (n.),水牛
3,buffet,n.,buffet (n.),自助餐
3,bulb,n.,bulb (n.),電燈泡
3,bull,n.,bull (n.),公牛
3,bullet,n.,bullet (n.),子彈
3,bump,n./v.,bump (n./v.),撞
3,bunch,n.,bunch (n.),束
3,bundle,n.,bundle (n.),捆
3,bury,v.,bury (v.),埋葬
3,bush,n.,bush (n.),襯套
3,buzz,n./v.,buzz (n./v.),嗡嗡聲
3,cabin,n.,cabin (n.),艙
3,cable,n./v.,cable (n./v.),電纜
3,cafeteria,n.,cafeteria (n.),自助餐廳
3,campus,n.,campus (n.),校園
3,canyon,n.,canyon (n.),峽谷
3,capable,adj.,capable (adj.),有能力的
3,captain,n.,captain (n.),隊長
3,capture,v.,capture (v.),捕獲
3,career,n.,career (n.),職業
3,carpenter,n.,carpenter (n.),木匠
3,carpet,n./v.,carpet (n./v.),地毯
3,carriage,n.,carriage (n.),運輸
3,cart,n./v.,cart (n./v.),大車
3,cast,v./n.,cast (v./n.),投擲
3,casual,adj.,casual (adj.),隨意的
3,cattle,n.,cattle (n.),牛
3,cave,n./v.,cave (n./v.),洞穴
3,champion,n.,champion (n.),冠軍
3,charm,n./v.,charm (n./v.),魅力
3,chat,n./v.,chat (n./v.),聊天
3,cheek,n.,cheek (n.),臉頰
3,cheerful,adj.,cheerful (adj.),快樂
3,cherry,n./adj.,cherry (n./adj.),櫻桃
3,chest,n.,chest (n.),胸部
3,chill,n./v./adj.,chill (n./v./adj.),寒意
3,chilly,adj.,chilly (adj.),寒冷
3,chimney,n.,chimney (n.),煙囪
3,chin,n.,chin (n.),下巴
3,chip,n./v.,chip (n./v.),晶片
3,chop,n./v.,chop (n./v.),劈
3,cigarette,n.,cigarette (n.),捲菸
